IDVenda;IDProduto;IDCliente;IDVendedor;Data;Quantidade;ValorTotal;Comentários;Status Pagamento
1;PROD006;16;20;45208;5;250;;Pago
2;PROD004;2;13;45440;3;600;;Pago
3;PROD011;76;5;45367;5;125;;Pago
4;PROD008;65;2;45448;1;120;;Pago
5;PROD008;70;14;45350;5;600;;Pago
6;PROD011;2;5;45221;3;750;;Pago
7;PROD004;99;6;45222;5;100;;Pago
8;PROD005;88;9;45332;5;150;;Pago
9;PROD009;17;11;45348;1;150;;Pago
10;PROD002;29;20;45335;2;800;;Pago
11;PROD009;76;12;45176;1;150;;Pago
12;PROD002;94;16;45308;2;800;;Pago
13;PROD008;50;5;45304;3;360;;Pago
14;PROD007;22;9;45415;2;160;;Pago
15;PROD002;17;1;45495;5;200;;Pago
16;PROD007;84;12;45209;3;240;;Pago
17;PROD004;28;20;45333;1;200;;Pago
18;PROD008;72;12;45459;2;240;;Pago
19;PROD002;44;4;45460;4;160;;Pago
20;PROD002;99;5;45180;4;160;;Pago
21;PROD003;32;4;45491;3;540;;Pago
22;PROD002;4;8;45193;4;160;;Pago
23;PROD002;98;16;45252;5;200;;Pago
24;PROD004;60;2;45447;4;800;;Pago
25;PROD011;84;3;45501;4;100;;Pago
26;PROD005;48;10;45399;5;150;;Pago
27;PROD010;43;2;45256;1;100;;Pago
28;PROD009;16;20;45286;1;150;;Pago
29;PROD006;58;4;45329;4;200;;Pago
30;PROD009;65;20;45375;1;150;;Pago
31;PROD010;94;14;45275;1;100;;Pago
32;PROD010;36;17;45230;2;200;;Pago
33;PROD002;94;16;45411;2;800;;Pago
34;PROD004;91;7;45294;5;100;;Pago
35;PROD008;60;14;45240;4;480;;Pago
36;PROD011;91;4;45326;5;125;;Pago
37;PROD005;99;7;45431;5;150;;Pago
38;PROD010;3;9;45334;1;100;;Pago
39;PROD011;63;14;45348;3;750;;Pago
40;PROD007;91;15;45535;4;320;;Pago
41;PROD005;20;19;45345;2;600;;Pago
42;PROD003;11;13;45320;2;360;;Pago
43;PROD008;60;1;45307;5;600;;Pago
44;PROD005;9;1;45286;5;150;;Pago
45;PROD002;6;6;45391;4;160;;Pago
46;PROD008;21;6;45408;4;480;;Pago
47;PROD005;16;14;45506;3;900;;Pago
48;PROD006;81;4;45307;2;100;;Pago
49;PROD005;86;13;45514;1;300;;Pago
50;PROD008;53;2;45241;2;240;;Pago
51;PROD003;91;13;45326;4;720;;Pago
52;PROD006;58;4;45441;4;200;;Pago
53;PROD002;33;20;45403;4;160;;Pago
54;PROD005;91;14;45329;3;900;;Pago
55;PROD005;64;8;45533;3;900;;Pago
56;PROD005;10;9;45479;4;120;;Pago
57;PROD010;14;9;45462;2;200;;Pago
58;PROD003;27;6;45471;5;900;;Pago
59;PROD002;82;13;45200;5;200;;Pago
60;PROD002;97;2;45302;1;400;;Pago
61;PROD009;41;16;45400;5;750;;Pago
62;PROD008;43;13;45464;4;480;;Pago
63;PROD020;25;8;45389;3;300;;Pago
64;PROD009;20;2;45490;4;600;;Pago
65;PROD020;69;15;45510;2;200;;Pago
66;PROD011;91;2;45314;2;500;;Pago
67;PROD003;91;13;45261;3;540;;Pago
68;PROD018;50;17;45390;3;360;;Pago
69;PROD003;50;5;45336;5;900;;Pago
70;PROD009;100;5;45411;2;300;;Pago
71;PROD006;39;12;45289;4;200;;Pago
72;PROD015;19;11;45350;5;150;;Pago
73;PROD018;68;20;45251;5;600;;Pago
74;PROD011;59;5;45428;1;250;;Pago
75;PROD015;32;8;45486;4;120;;Pago
76;PROD003;82;10;45437;2;360;;Pago
77;PROD003;94;7;45535;2;360;;Pago
78;PROD007;14;14;45456;4;320;;Pago
79;PROD011;37;10;45394;3;750;;Pago
80;PROD015;19;6;45532;2;600;;Pago
81;PROD002;58;14;45235;1;400;;Pago
82;PROD009;73;13;45444;4;600;;Pago
83;PROD003;53;3;45184;4;720;;Pago
84;PROD003;54;6;45391;1;180;;Pago
85;PROD009;4;16;45381;5;750;;Pago
86;PROD004;27;5;45448;1;200;;Pago
87;PROD003;24;19;45213;1;180;;Pago
88;PROD018;61;17;45353;3;360;;Pago
89;PROD018;39;13;45333;1;120;;Pago
90;PROD006;61;8;45480;5;250;;Pago
91;PROD011;87;9;45327;4;100;;Pago
92;PROD015;53;3;45256;3;900;;Pago
93;PROD015;50;3;45462;2;600;;Pago
94;PROD015;67;19;45400;5;150;;Pago
95;PROD020;14;6;45381;3;300;;Pago
96;PROD002;45;19;45361;2;800;;Pago
97;PROD018;39;12;45254;2;240;;Pago
98;PROD015;14;8;45329;5;150;;Pago
99;PROD015;87;19;45314;3;900;;Pago
100;PROD020;45;8;45221;2;200;;Pago
101;PROD019;56;14;45409;3;450;;Pago
102;PROD018;40;8;45254;1;120;;Pago
103;PROD025;68;1;45272;3;900;;Pago
104;PROD011;21;13;45269;3;750;;Pago
105;PROD002;1;9;45463;2;800;;Pago
106;PROD019;42;7;45383;4;600;;Pago
107;PROD004;63;19;45511;1;200;;Pago
108;PROD003;7;16;45322;1;180;;Pago
109;PROD002;61;11;45393;3;120;;Pago
110;PROD028;76;13;45236;1;120;;Pago
111;PROD019;29;2;45187;2;300;;Pago
112;PROD011;25;6;45454;4;100;;Pago
113;PROD019;70;10;45452;5;750;;Pago
114;PROD028;5;10;45403;4;480;;Pago
115;PROD019;13;1;45292;5;750;;Pago
116;PROD002;32;8;45274;5;200;;Pago
117;PROD019;87;7;45454;3;450;;Pago
118;PROD002;35;11;45314;3;120;;Pago
119;PROD006;22;20;45489;2;100;;Pago
120;PROD003;76;5;45511;1;180;;Pago
121;PROD028;70;9;45538;1;120;;Pago
122;PROD007;18;3;45517;5;400;;Pago
123;PROD007;62;2;45293;5;400;;Pago
124;PROD017;9;15;45372;1;800;;Pago
125;PROD019;76;10;45371;5;750;;Pago
126;PROD011;64;17;45418;4;100;;Pago
127;PROD020;47;9;45505;1;100;;Pago
128;PROD019;77;14;45386;1;150;;Pago
129;PROD028;72;2;45364;1;120;;Pago
130;PROD002;46;3;45251;3;120;;Pago
131;PROD002;70;15;45541;1;400;;Pago
132;PROD025;73;17;45214;3;900;;Pago
133;PROD011;35;2;45204;5;125;;Pago
134;PROD002;95;12;45309;2;800;;Pago
135;PROD020;31;10;45182;1;100;;Pago
136;PROD030;56;20;45525;4;400;;Pago
137;PROD004;26;14;45446;3;600;;Pago
138;PROD004;3;11;45400;2;400;;Pago
139;PROD011;85;13;45250;1;250;;Pago
140;PROD006;26;12;45304;2;100;;Pago
141;PROD006;96;16;45300;3;150;;Pago
142;PROD017;81;8;45375;2;160;;Pago
143;PROD025;8;12;45370;4;120;;Pago
144;PROD004;30;15;45223;5;100;;Pago
145;PROD003;1;12;45185;4;720;;Pago
146;PROD006;14;8;45384;1;500;;Pago
147;PROD066;1;11;45285;2;100;;Pago
148;PROD029;16;7;45234;2;300;;Pago
149;PROD028;39;12;45342;2;240;;Pago
150;PROD030;52;13;45197;3;300;;Pago
151;PROD030;27;11;45446;4;400;;Pago
152;PROD004;64;10;45200;3;600;;Pago
153;PROD029;64;7;45386;2;300;;Pago
154;PROD011;88;20;45207;1;250;;Pago
155;PROD028;22;5;45431;3;360;;Pago
156;PROD025;10;3;45521;4;120;;Pago
157;PROD012;94;20;45396;4;160;;Pago
158;PROD030;11;11;45259;2;200;;Pago
159;PROD017;69;13;45205;1;800;;Pago
160;PROD003;56;14;45457;4;720;;Pago
161;PROD030;3;2;45483;1;100;;Pago
162;PROD001;44;3;45250;3;750;;Pago
163;PROD003;37;13;45427;4;720;;Pago
164;PROD030;60;13;45357;5;500;;Pago
165;PROD040;54;17;45470;3;300;;Pago
166;PROD001;49;4;45453;3;750;;Pago
167;PROD029;94;10;45521;1;150;;Pago
168;PROD038;78;9;45533;2;240;;Pago
169;PROD003;58;20;45450;4;720;;Pago
170;PROD001;60;10;45288;2;500;;Pago
171;PROD035;63;9;45287;1;300;;Pago
172;PROD035;71;18;45524;1;300;;Pago
173;PROD029;88;4;45457;3;450;;Pago
174;PROD038;24;7;45265;4;480;;Pago
175;PROD001;66;16;45244;2;500;;Pago
176;PROD001;63;1;45461;1;250;;Pago
177;PROD040;20;7;45431;5;500;;Pago
178;PROD001;13;5;45182;5;125;;Pago
179;PROD066;82;7;45435;3;150;;Pago
180;PROD014;31;20;45428;1;200;;Pago
181;PROD001;22;17;45320;2;500;;Pago
182;PROD035;65;2;45468;1;300;;Pago
183;PROD003;68;15;45528;4;720;;Pago
184;PROD001;29;15;45457;3;750;;Pago
185;PROD017;6;4;45504;4;320;;Pago
186;PROD012;46;6;45527;2;800;;Pago
187;PROD003;87;12;45266;2;360;;Pago
188;PROD080;55;4;45231;2;200;;Pago
189;PROD014;40;14;45205;3;600;;Pago
190;PROD029;49;8;45540;2;300;;Pago
191;PROD066;6;3;45374;3;150;;Pago
192;PROD014;18;9;45210;3;600;;Pago
193;PROD035;41;14;45389;4;120;;Pago
194;PROD014;13;15;45316;4;800;;Pago
195;PROD001;89;7;45432;4;100;;Pago
196;PROD066;71;6;45227;1;500;;Pago
197;PROD029;37;12;45458;2;300;;Pago
198;PROD035;89;13;45521;1;300;;Pago
199;PROD017;24;9;45391;5;400;;Pago
200;PROD029;11;8;45204;5;750;;Pago
201;PROD012;50;11;45212;1;400;;Pago
202;PROD038;12;13;45395;4;480;;Pago
203;PROD045;74;1;45300;2;600;;Pago
204;PROD012;64;6;45275;2;800;;Pago
205;PROD038;31;18;45464;1;120;;Pago
206;PROD038;8;7;45519;3;360;;Pago
207;PROD039;57;6;45285;2;300;;Pago
208;PROD017;16;20;45447;4;320;;Pago
209;PROD012;2;8;45428;4;160;;Pago
210;PROD017;62;14;45182;4;320;;Pago
211;PROD014;99;1;45439;2;400;;Pago
212;PROD038;38;9;45254;1;120;;Pago
213;PROD066;14;2;45516;3;150;;Pago
214;PROD045;29;6;45182;2;600;;Pago
215;PROD016;71;14;45277;4;200;;Pago
216;PROD001;51;4;45409;2;500;;Pago
217;PROD024;72;2;45446;4;800;;Pago
218;PROD045;38;18;45266;1;300;;Pago
219;PROD001;44;4;45326;5;125;;Pago
220;PROD039;82;10;45469;3;450;;Pago
221;PROD012;84;16;45332;5;200;;Pago
222;PROD016;79;14;45524;2;100;;Pago
223;PROD045;57;2;45183;4;120;;Pago
224;PROD012;70;20;45484;5;200;;Pago
225;PROD039;32;13;45341;3;450;;Pago
226;PROD055;15;18;45344;2;600;;Pago
227;PROD055;79;11;45305;5;150;;Pago
228;PROD039;68;7;45217;3;450;;Pago
229;PROD039;76;19;45248;4;600;;Pago
230;PROD080;27;9;45529;2;200;;Pago
231;PROD012;18;4;45367;5;200;;Pago
232;PROD048;86;9;45225;4;480;;Pago
233;PROD048;67;6;45454;2;240;;Pago
234;PROD012;8;2;45339;1;400;;Pago
235;PROD080;79;13;45251;1;100;;Pago
236;PROD012;28;17;45458;1;400;;Pago
237;PROD003;96;1;45226;4;720;;Pago
238;PROD080;11;4;45397;1;100;;Pago
239;PROD055;74;11;45346;3;900;;Pago
240;PROD027;22;9;45236;4;320;;Pago
241;PROD001;42;12;45270;4;100;;Pago
242;PROD001;87;4;45181;3;750;;Pago
243;PROD013;88;9;45360;2;360;;Pago
244;PROD080;14;13;45176;5;500;;Pago
245;PROD024;82;15;45295;4;800;;Pago
246;PROD016;45;6;45203;4;200;;Pago
247;PROD024;51;11;45409;1;200;;Pago
248;PROD016;26;2;45324;4;200;;Pago
249;PROD024;4;2;45486;2;400;;Pago
250;PROD012;32;16;45471;5;200;;Pago
251;PROD027;7;13;45233;5;400;;Pago
252;PROD016;34;11;45261;4;200;;Pago
253;PROD012;98;12;45456;2;800;;Pago
254;PROD048;21;18;45282;2;240;;Pago
255;PROD048;23;17;45260;3;360;;Pago
256;PROD001;74;12;45185;3;750;;Pago
257;PROD039;57;6;45330;1;150;;Pago
258;PROD080;43;7;45437;4;400;;Pago
259;PROD048;45;2;45362;4;480;;Pago
260;PROD013;57;11;45481;2;360;;Pago
261;PROD050;92;8;45402;2;200;;Pago
262;PROD024;31;7;45450;2;400;;Pago
263;PROD001;83;4;45491;4;100;;Pago
264;PROD048;22;14;45466;1;120;;Pago
265;PROD054;62;19;45492;1;200;;Pago
266;PROD001;36;20;45243;5;125;;Pago
267;PROD050;10;4;45249;5;500;;Pago
268;PROD039;48;6;45239;4;600;;Pago
269;PROD013;75;1;45322;2;360;;Pago
270;PROD016;84;16;45455;4;200;;Pago
271;PROD050;19;20;45435;3;300;;Pago
272;PROD012;60;3;45292;5;200;;Pago
273;PROD055;73;6;45350;3;900;;Pago
274;PROD012;94;6;45236;3;120;;Pago
275;PROD016;53;14;45325;2;100;;Pago
276;PROD058;32;6;45428;2;240;;Pago
277;PROD050;4;6;45458;3;300;;Pago
278;PROD054;30;12;45466;3;600;;Pago
279;PROD013;40;17;45178;3;540;;Pago
280;PROD054;41;1;45316;2;400;;Pago
281;PROD027;61;13;45258;2;160;;Pago
282;PROD050;83;17;45286;3;300;;Pago
283;PROD001;89;14;45206;2;500;;Pago
284;PROD039;96;13;45490;2;300;;Pago
285;PROD013;37;12;45336;5;900;;Pago
286;PROD058;26;15;45271;4;480;;Pago
287;PROD001;90;4;45442;5;125;;Pago
288;PROD001;26;6;45474;1;250;;Pago
289;PROD054;93;3;45471;5;100;;Pago
290;PROD039;63;13;45253;3;450;;Pago
291;PROD027;6;6;45511;3;240;;Pago
292;PROD058;88;13;45306;2;240;;Pago
293;PROD055;31;20;45179;1;300;;Pago
294;PROD055;84;9;45346;4;120;;Pago
295;PROD054;70;15;45477;2;400;;Pago
296;PROD060;55;5;45356;5;500;;Pago
297;PROD054;10;10;45451;5;100;;Pago
298;PROD013;93;16;45216;2;360;;Pago
299;PROD001;93;1;45526;5;125;;Pago
300;PROD065;29;12;45397;4;120;;Pago
301;PROD013;71;9;45183;2;360;;Pago
302;PROD065;4;6;45480;5;150;;Pago
303;PROD058;29;20;45411;2;240;;Pago
304;PROD013;93;6;45451;3;540;;Pago
305;PROD037;74;6;45258;4;320;;Pago
306;PROD058;29;8;45292;2;240;;Pago
307;PROD049;62;11;45377;5;750;;Pago
308;PROD054;26;15;45433;5;100;;Pago
309;PROD060;20;20;45510;2;200;;Pago
310;PROD058;81;7;45346;5;600;;Pago
311;PROD001;38;6;45234;5;125;;Pago
312;PROD068;4;9;45365;5;600;;Pago
313;PROD026;55;18;45188;5;250;;Pago
314;PROD026;33;18;45396;4;200;;Pago
315;PROD037;35;16;45440;4;320;;Pago
316;PROD060;37;9;45495;1;100;;Pago
317;PROD013;77;11;45176;4;720;;Pago
318;PROD037;80;9;45453;3;240;;Pago
319;PROD060;34;1;45439;4;400;;Pago
320;PROD068;88;17;45202;5;600;;Pago
321;PROD037;19;7;45319;2;160;;Pago
322;PROD013;50;12;45216;4;720;;Pago
323;PROD065;77;15;45493;1;300;;Pago
324;PROD068;81;6;45192;5;600;;Pago
325;PROD070;15;9;45421;2;200;;Pago
326;PROD026;30;18;45369;4;200;;Pago
327;PROD001;6;8;45441;3;750;;Pago
328;PROD065;28;10;45290;3;900;;Pago
329;PROD065;81;9;45401;2;600;;Pago
330;PROD001;24;1;45294;5;125;;Pago
331;PROD064;21;20;45457;4;800;;Pago
332;PROD065;79;3;45274;5;150;;Pago
333;PROD070;85;3;45469;5;500;;Pago
334;PROD070;35;15;45326;4;400;;Pago
335;PROD070;76;5;45418;3;300;;Pago
336;PROD001;66;9;45299;4;100;;Pago
337;PROD064;47;6;45291;5;100;;Pago
338;PROD026;1;7;45218;1;500;;Pago
339;PROD037;94;17;45488;2;160;;Pago
340;PROD070;94;12;45478;2;200;;Pago
341;PROD064;90;18;45332;5;100;;Pago
342;PROD068;18;8;45379;5;600;;Pago
343;PROD047;100;15;45471;1;800;;Pago
344;PROD047;63;20;45203;5;400;;Pago
345;PROD003;34;8;45337;4;720;;Pago
346;PROD064;58;5;45455;1;200;;Pago
347;PROD070;4;12;45521;1;100;;Pago
348;PROD001;57;15;45316;4;100;;Pago
349;PROD064;68;19;45513;2;400;;Pago
350;PROD065;66;18;45339;1;300;;Pago
351;PROD036;73;20;45183;5;250;;Pago
352;PROD065;39;1;45269;3;900;;Pago
353;PROD070;24;16;45380;5;500;;Pago
354;PROD001;91;10;45520;3;750;;Pago
355;PROD001;45;2;45517;4;100;;Pago
356;PROD012;11;7;45529;2;800;;Pago
357;PROD004;19;11;45260;2;400;;Pago
358;PROD065;6;4;45477;5;150;;Pago
359;PROD004;99;5;45396;4;800;;Pago
360;PROD065;23;3;45442;4;120;;Pago
361;PROD049;74;8;45487;2;300;;Pago
362;PROD004;19;5;45266;2;400;;Pago
363;PROD047;54;9;45212;3;240;;Pago
364;PROD004;70;15;45196;1;200;;Pago
365;PROD012;11;3;45375;4;160;;Pago
366;PROD068;47;17;45281;3;360;;Pago
367;PROD070;97;1;45235;3;300;;Pago
368;PROD001;31;19;45431;3;750;;Pago
369;PROD065;25;12;45219;2;600;;Pago
370;PROD012;19;17;45221;4;160;;Pago
371;PROD047;39;6;45191;2;160;;Pago
372;PROD047;99;11;45402;1;800;;Pago
373;PROD070;79;1;45277;1;100;;Pago
374;PROD036;16;18;45213;5;250;;Pago
375;PROD012;36;9;45180;2;800;;Pago
376;PROD001;87;5;45253;1;250;;Pago
377;PROD049;85;2;45522;4;600;;Pago
378;PROD012;78;13;45210;4;160;;Pago
379;PROD070;57;12;45417;1;100;;Pago
380;PROD068;44;13;45357;2;240;;Pago
381;PROD068;84;18;45456;1;120;;Pago
382;PROD004;84;8;45534;1;200;;Pago
383;PROD003;62;7;45534;2;360;;Pago
384;PROD010;9;15;45294;2;200;;Pago
385;PROD074;71;8;45270;1;200;;Pago
386;PROD049;11;3;45424;2;300;;Pago
387;PROD036;8;2;45511;5;250;;Pago
388;PROD049;98;10;45460;3;450;;Pago
389;PROD003;84;3;45433;4;720;;Pago
390;PROD012;79;12;45360;2;800;;Pago
391;PROD020;100;13;45442;3;300;;Pago
392;PROD074;96;1;45251;5;100;;Pago
393;PROD049;78;14;45247;2;300;;Pago
394;PROD065;19;20;45513;5;150;;Pago
395;PROD057;56;19;45352;2;160;;Pago
396;PROD068;58;10;45272;3;360;;Pago
397;PROD020;92;19;45186;5;500;;Pago
398;PROD057;96;5;45191;4;320;;Pago
399;PROD068;76;18;45356;4;480;;Pago
400;PROD057;59;15;45214;1;800;;Pago
401;PROD036;22;9;45257;4;200;;Pago
402;PROD003;54;2;45286;4;720;;Pago
403;PROD049;58;2;45290;2;300;;Pago
404;PROD065;80;5;45294;1;300;;Pago
405;PROD020;98;20;45445;2;200;;Pago
406;PROD023;74;2;45213;3;540;;Pago
407;PROD036;84;4;45394;4;200;;Pago
408;PROD078;97;6;45512;3;360;;Pago
409;PROD074;61;6;45520;1;200;;Pago
410;PROD020;52;7;45267;5;500;;Pago
411;PROD049;24;14;45318;5;750;;Pago
412;PROD057;43;6;45353;4;320;;Pago
413;PROD074;86;5;45365;3;600;;Pago
414;PROD001;96;11;45221;3;750;;Pago
415;PROD078;62;13;45392;2;240;;Pago
416;PROD065;28;5;45530;2;600;;Pago
417;PROD001;25;5;45380;2;500;;Pago
418;PROD057;10;17;45385;1;800;;Pago
419;PROD074;81;2;45246;4;800;;Pago
420;PROD065;88;18;45346;1;300;;Pago
421;PROD023;45;20;45247;1;180;;Pago
422;PROD001;49;3;45400;5;125;;Pago
423;PROD067;99;8;45497;3;240;;Pago
424;PROD012;30;10;45389;5;200;;Pago
425;PROD067;37;13;45292;4;320;;Pago
426;PROD067;92;11;45454;1;800;;Pago
427;PROD012;5;12;45202;4;160;;Pago
428;PROD049;96;16;45424;3;450;;Pago
429;PROD046;62;4;45488;2;100;;Pago
430;PROD074;76;2;45176;4;800;;Pago
431;PROD049;4;11;45477;3;450;;Pago
432;PROD049;75;12;45328;2;300;;Pago
433;PROD023;21;3;45518;4;720;;Pago
434;PROD023;7;8;45197;5;900;;Pago
435;PROD078;87;2;45476;1;120;;Pago
436;PROD067;11;3;45540;1;800;;Pago
437;PROD078;31;10;45275;5;600;;Pago
438;PROD065;56;5;45215;3;900;;Pago
439;PROD049;23;10;45193;2;300;;Pago
440;PROD059;90;14;45449;5;750;;Pago
441;PROD010;34;13;45264;1;100;;Pago
442;PROD074;86;10;45272;1;200;;Pago
443;PROD065;59;4;45489;1;300;;Pago
444;PROD065;31;16;45502;1;300;;Pago
445;PROD065;6;5;45214;1;300;;Pago
446;PROD023;100;20;45518;5;900;;Pago
447;PROD012;36;2;45525;3;120;;Pago
448;PROD074;59;20;45401;4;800;;Pago
449;PROD065;7;15;45470;4;120;;Pago
450;PROD078;70;16;45502;4;480;;Pago
451;PROD074;78;10;45488;3;600;;Pago
452;PROD065;41;7;45314;4;120;;Pago
453;PROD001;8;12;45389;4;100;;Pago
454;PROD046;68;2;45408;2;100;;Pago
455;PROD065;29;17;45270;3;900;;Pago
456;PROD077;71;4;45402;5;400;;Pago
457;PROD010;3;17;45308;5;500;;Pago
458;PROD012;24;6;45506;2;800;;Pago
459;PROD059;76;13;45185;5;750;;Pago
460;PROD078;69;17;45323;2;240;;Pago
461;PROD012;22;7;45319;3;120;;Pago
462;PROD074;84;11;45432;3;600;;Pago
463;PROD046;9;10;45377;5;250;;Pago
464;PROD065;67;12;45449;3;900;;Pago
465;PROD023;8;15;45256;4;720;;Pago
466;PROD023;77;18;45435;3;540;;Pago
467;PROD050;70;12;45222;2;200;;Pago
468;PROD003;13;17;45358;3;540;;Pago
