ID Produto,Nome,Categoria,Subcategoria
1,commodi,Alimentos,Bebidas
2,error,Eletrônicos,Smartphones
3,alias,Eletrônicos,TVs
4,fuga,Eletrônicos,Computadores
5,distinctio,Livros,Ficção
6,perspiciatis,Livros,Infantil
7,numquam,Casa,Decoração
8,natus,Eletrônicos,Smartphones
9,quis,Eletrônicos,TVs
10,perferendis,Roupas,Masculino
11,vitae,Eletrônicos,Smartphones
12,animi,Roupas,Feminino
13,molestiae,Roupas,Infantil
14,sunt,Livros,Ficção
15,vel,Alimentos,Frescos
16,non,Roupas,Feminino
17,cumque,Livros,Ficção
18,a,Alimentos,Congelados
19,quaerat,Alimentos,Frescos
20,pariatur,Alimentos,Congelados
21,adipisci,Alimentos,Frescos
22,excepturi,Eletrônicos,Smartphones
23,asperiores,Roupas,Masculino
24,deserunt,Eletrônicos,Smartphones
25,ullam,Casa,Eletrodomésticos
26,quae,Alimentos,Congelados
27,illum,Alimentos,Frescos
28,quam,Livros,Infantil
29,similique,Roupas,Infantil
30,accusamus,Livros,Infantil
31,voluptatibus,Eletrônicos,Computadores
32,magnam,Casa,Eletrodomésticos
33,vero,Livros,Infantil
34,odio,Roupas,Infantil
35,temporibus,Livros,Não-Ficção
36,autem,Alimentos,Bebidas
37,ipsam,Roupas,Masculino
38,eveniet,Roupas,Feminino
39,optio,Casa,Decoração
40,asperiores,Alimentos,Frescos
41,saepe,Casa,Móveis
42,excepturi,Casa,Eletrodomésticos
43,veritatis,Eletrônicos,Computadores
44,distinctio,Casa,Móveis
45,architecto,Casa,Decoração
46,illum,Livros,Não-Ficção
47,voluptate,Roupas,Feminino
48,earum,Livros,Infantil
49,ducimus,Eletrônicos,Smartphones
50,tempora,Casa,Móveis
